IrO1,IrO2
94.67,47.11
94.31,46.39
93.85,46.71
93.61,46.49
92.99,46.11
92.63,46.13
92.25,46.41
91.89,45.61
91.27,45.75
90.97,45.53
90.55,45.31
90.05,45.35
89.81,45.39
89.39,44.75
88.97,45.15
88.61,44.91
88.05,44.95
87.85,44.85
87.37,44.35
86.95,45.09
86.57,45.09
86.39,43.99
85.93,43.69
85.49,43.77
85.19,43.57
84.63,43.57
84.27,43.77
83.97,43.57
83.55,43.41
83.21,42.97
82.85,42.69
82.59,43.03
82.25,42.31
81.75,42.41
81.45,42.59
81.25,42.25
80.83,42.45
80.39,41.97
80.19,42.01
79.99,42.15
79.35,42.09
79.11,41.87
78.91,41.75
78.49,42.11
78.11,41.73
77.57,41.55
77.39,41.57
77.11,41.45
76.77,41.25
76.25,41.01
76.17,40.83
75.83,40.55
75.49,40.51
75.29,40.51
74.93,40.11
74.61,40.43
74.19,39.83
74.03,40.17
73.79,39.95
73.47,39.49
73.13,39.85
72.79,39.51
72.55,39.65
72.21,39.45
71.87,39.19
71.71,39.31
71.47,39.05
71.01,39.21
70.89,38.95
70.47,38.77
70.29,38.97
69.97,38.61
69.63,38.77
69.43,38.59
69.07,38.69
68.97,38.09
68.77,38.21
68.37,38.55
68.29,38.21
67.89,37.85
67.65,38.11
67.23,37.79
67.13,38.09
66.89,37.67
66.61,37.51
66.15,37.75
66.05,37.59
65.89,37.53
65.57,37.61
65.39,37.53
65.13,37.45
64.79,37.17
64.81,37.09
64.45,37.33
64.29,37.01
63.97,36.73
63.67,36.89
63.45,36.53
63.27,36.47
63.23,36.41
62.87,36.25
62.65,36.25
62.51,36.29
62.29,36.41
62.13,36.39
62.05,36.49
61.89,36.01
61.67,36.09
61.45,36.29
61.41,35.35
61.35,37.17
61.19,35.51
61.49,34.81
61.31,34.31
61.19,34.51
61.21,34.45
61.17,34.29
61.03,34.43
61.19,34.29
60.95,34.55
61.09,34.43
61.11,34.55
60.97,34.59
60.91,34.47
61.13,34.55
60.93,34.83
60.97,34.47
60.79,34.47
60.99,34.83
60.85,34.71
60.89,34.63
60.81,34.67
60.75,34.77
60.79,34.75
60.97,34.51
60.65,34.83
60.61,34.91
60.79,34.85
60.63,34.89
60.61,34.67
60.53,34.67
60.59,34.93
60.73,34.97
60.61,34.85
60.73,34.71
60.75,34.81
60.59,34.89
60.45,34.81
60.57,34.55
60.55,34.77
60.63,34.89
60.59,34.85
60.55,34.67
60.49,34.71
60.65,34.61
60.49,34.83
60.51,34.75
60.47,34.75
60.49,34.69
60.53,34.81
60.45,34.67
60.33,34.89
60.35,34.91
60.29,34.61
60.27,34.75
60.21,34.83
60.27,34.69
60.17,34.63
60.29,34.89
60.27,34.81
60.31,34.97
60.03,34.61
60.03,34.81
59.99,34.75
60.01,34.55
60.21,34.69
60.05,34.59
60.05,34.83
59.89,34.69
59.97,34.77
59.85,34.69
59.93,34.33
59.99,34.69
60.01,34.69
59.95,34.61
59.93,34.47
59.71,34.69
59.87,34.59
60.11,34.51
59.87,34.55
59.73,34.47
59.73,34.61
59.85,34.55
59.81,34.59
59.63,34.81
59.73,34.61
59.63,34.43
59.57,34.45
59.61,34.51
59.41,34.23
59.55,34.39
59.41,34.43
59.49,34.43
59.57,34.33
59.41,34.39
59.39,34.37
59.51,34.29
59.39,34.53
59.39,34.43
59.51,34.43
59.45,34.31
59.33,34.45
59.41,34.31
59.27,34.23
59.27,34.47
59.21,34.37
59.33,34.33
59.23,34.37
59.15,34.23
59.17,34.23
59.07,34.29
59.17,34.31
59.07,34.15
59.09,34.43
59.03,34.17
59.21,34.43
59.13,34.29
59.09,34.21
58.95,34.21
59.01,34.43
58.95,34.25
59.07,34.09
59.03,34.23
59.01,34.31
58.91,34.09
58.87,34.09
58.79,34.03
58.87,34.31
58.83,33.95
58.77,34.21
58.87,34.13
58.87,34.09
58.87,33.99
58.87,34.15
58.89,33.95
58.79,34.09
58.89,34.23
58.85,34.15
58.69,34.07
58.61,34.01
58.81,34.03
58.81,34.17
58.77,34.15
58.59,34.15
58.71,33.99
58.69,33.95
58.75,34.15
58.57,33.99
58.77,34.01
58.63,33.83
58.47,33.79
58.59,33.91
58.59,33.83
58.49,34.09
58.65,34.01
58.37,33.87
58.65,33.73
58.47,33.79
58.47,33.73
58.37,33.95
58.45,34.07
58.49,33.73
58.49,33.71
58.35,33.87
58.37,33.77
58.49,33.93
58.31,33.85
58.31,33.85
58.35,33.69
58.29,33.73
58.35,33.83
58.35,33.77
58.33,33.91
58.25,33.55
58.23,33.77
58.15,33.71
58.15,33.57
58.15,33.65
58.15,33.65
58.27,33.63
58.13,33.87
58.19,33.77
58.25,33.69
58.25,33.79
58.13,33.99
58.13,33.79
57.97,33.79
58.15,33.47
58.05,33.63
58.03,33.63
57.95,33.51
57.87,33.65
57.97,33.65
58.03,33.61
57.85,33.57
57.79,33.51
57.79,33.55
57.79,33.51
57.79,33.55
57.91,33.57
57.81,33.49
57.75,33.49
57.85,33.63
57.65,33.47
57.63,33.43
57.77,33.51
57.75,33.47
57.57,33.65
57.55,33.49
57.63,33.51
57.63,33.61
57.49,33.47
57.49,33.41
57.57,33.43
57.49,33.43
57.51,33.57
57.37,33.39
57.35,33.57
57.37,33.35
57.49,33.35
57.49,33.51
57.33,33.29
57.25,33.55
57.15,33.29
57.15,33.35
57.11,33.47
57.15,33.35
56.97,33.57
57.15,33.41
57.09,33.61
56.99,33.47
57.19,33.35
57.15,33.47
57.03,33.25
56.91,33.35
56.91,33.25
56.77,33.35
56.89,33.39
56.77,33.19
56.85,33.25
56.89,33.33
56.77,33.21
56.69,33.21
56.53,33.25
56.57,33.25
56.67,33.35
56.85,33.29
56.57,33.39
56.57,33.39
56.57,33.29
