iteration;batch_number;stick_number;index_log;stick_weight;sugar_amount;iteration_since_maintenance;wait_time;cook_time;cooldown_time;start_temp;cook_temp;cooled_temp;duration_till_handover;duration_total;show_start_time;show_end_time;duration_cc_flow;diff_flow;diff_flow_stop;baseline_env_EnvH;baseline_env_EnvT;before_turn_on_env_InH;before_turn_on_env_InT;before_turn_on_env_IrO;before_turn_on_env_IrA;after_flow_start_env_InH;after_flow_start_env_InT;after_flow_start_env_IrO;after_flow_start_env_IrA;after_flow_end_env_InH;after_flow_end_env_InT;after_flow_end_env_IrO;after_flow_end_env_IrA;before_cooldown_env_InH;before_cooldown_env_InT;before_cooldown_env_IrO;before_cooldown_env_IrA;after_cooldown_env_InH;after_cooldown_env_InT;after_cooldown_env_IrO;after_cooldown_env_IrA;touch_pos1;touch_pos2;touch_pos3;max_pos1;max_pos2;max_pos3;cc_weight;quality_score;my_score;
49;9;5;63142;1.9;1;46;30.0;80.0;60.0;56.87;58.55;62.01;193.41;447.52;31:53;33:52;119.17;;;61.65;25.8;36.33;40.92;58.63;33.15;38.49;39.37;64.47;32.73;36.13;41.28;73.71;33.57;35.77;41.45;75.57;33.49;36.25;40.96;59.71;33.13;6.0;4.0;5.0;23.44;5.65;35.01;8.89;52.25;40;
50;9;6;63149;1.9;1;47;30.0;80.0;60.0;57.45;59.77;59.21;194.06;476.86;39:14;41:20;126.42;;;61.89;25.78;36.29;40.92;58.27;33.13;38.52;39.32;63.75;32.93;34.83;42.41;69.51;33.43;33.46;43.45;75.05;33.67;34.66;42.22;56.91;33.23;8.0;2.0;11.0;23.6;0.0;36.8;9.1;61.56;40;
51;9;7;63156;1.9;1;48;30.0;80.0;60.0;56.29;59.03;61.05;193.8;436.08;47:22;49:12;110.04;;;61.87;25.73;34.74;42.15;56.17;33.23;37.53;39.94;64.67;32.87;35.94;41.34;76.05;33.81;35.89;41.28;73.23;33.59;36.43;40.75;58.75;33.43;6.0;1.0;7.0;29.36;12.12;36.95;9.08;49.43;45;
52;9;8;63163;1.9;1;49;30.0;80.0;60.0;59.37;59.43;63.19;196.45;445.06;54:29;56:27;117.38;;;61.96;25.69;36.46;40.68;59.21;33.41;38.62;39.13;63.47;33.05;36.01;41.36;73.99;33.85;35.55;41.53;76.45;33.87;35.87;41.17;60.89;33.63;8.0;1.0;7.0;18.7;0.26;52.64;8.5;43.2;50;
53;9;9;63170;1.9;1;50;30.0;80.0;60.0;60.73;61.51;61.17;197.99;471.1;01:52;03:52;119.61;;;61.98;25.71;35.92;41.15;61.37;33.63;38.01;39.6;64.35;33.29;35.2;41.94;71.77;33.57;33.74;43.13;77.17;33.77;34.49;42.3;58.87;33.51;10.0;1.0;11.0;12.86;1.81;42.53;8.52;53.54;40;
54;9;10;63177;1.9;1;51;30.0;80.0;60.0;59.33;59.77;60.59;196.12;465.78;09:57;11:41;103.45;;;61.92;25.69;34.55;42.28;57.97;33.47;36.8;40.51;65.39;33.03;34.98;42.15;73.63;33.71;33.47;43.34;78.25;33.77;34.23;42.55;58.29;33.33;7.0;4.0;11.0;11.89;0.0;36.28;7.37;45.57;30;
55;10;0;63285;1.9;1;0;102.0;100.0;60.0;25.07;25.13;67.79;388.69;616.52;14:49;15:50;60.46;;;66.08;24.67;0.0;-45.0;25.17;25.73;56.57;31.44;69.23;26.37;48.48;35.48;83.75;27.59;41.33;39.05;84.15;29.77;42.73;37.58;65.49;29.73;6.0;2.0;7.0;18.22;7.02;47.38;8.83;48.37;65;
56;10;1;63292;1.9;1;1;30.0;80.0;60.0;62.77;65.49;76.97;195.89;463.71;22:05;22:56;52.16;;;66.55;25.08;42.86;37.56;64.39;29.75;44.23;36.75;75.79;29.33;41.95;38.45;85.93;29.53;38.42;40.81;95.51;29.65;38.88;40.19;74.67;29.81;1.0;3.0;3.0;31.89;1.08;15.48;8.4;43.73;65;
57;10;2;63301;1.9;1;2;30.0;80.0;60.0;73.95;73.11;76.39;196.41;422.93;29:35;30:36;60.88;;;66.48;25.12;38.96;40.17;75.47;29.85;40.92;38.75;77.35;30.27;38.9;40.43;91.99;30.43;37.9;41.07;94.01;30.23;38.36;40.51;74.09;30.21;2.0;1.0;11.0;29.62;7.29;27.29;8.14;52.43;50;
58;10;3;63308;1.9;1;3;30.0;80.0;60.0;71.91;72.43;74.91;195.67;412.67;36:35;37:36;60.84;;;66.3;25.25;38.44;40.49;74.13;30.25;40.43;39.05;75.19;30.71;38.59;40.66;90.73;30.39;37.39;41.47;91.85;30.39;38.12;40.7;72.61;30.09;2.0;1.0;10.0;27.89;10.46;26.51;8.57;42.95;60;
59;10;4;63315;1.9;1;4;30.0;80.0;60.0;72.81;71.81;69.43;193.05;483.93;43:31;44:32;60.84;;;65.78;25.48;38.19;40.64;72.07;30.13;40.41;39.09;76.33;30.59;37.4;41.51;86.45;30.95;37.16;41.64;85.85;30.91;38.81;40.13;67.13;30.51;11.0;1.0;11.0;9.43;20.45;33.7;8.4;49.63;30;
60;10;5;63322;1.9;1;5;30.0;80.0;60.0;69.03;67.23;73.35;193.43;423.16;51:47;52:33;46.56;;;66.27;25.4;38.91;40.05;65.77;30.49;41.17;38.6;75.49;30.43;39.74;39.81;85.97;30.31;36.79;42.02;89.89;30.99;37.58;41.21;71.05;30.93;7.0;5.0;4.0;27.89;0.02;38.41;7.53;41.29;45;
61;10;6;63329;1.9;1;6;30.0;80.0;60.0;69.19;71.25;76.39;193.87;440.0;58:41;59:47;65.15;;;66.09;25.52;37.66;41.19;70.53;30.93;40.03;39.45;76.21;31.13;38.31;40.89;90.95;30.81;37.99;41.04;94.79;31.37;38.38;40.6;74.09;31.35;5.0;3.0;11.0;24.44;0.02;39.89;8.37;61.02;55;
62;10;7;63336;1.9;1;7;30.0;80.0;60.0;72.89;74.27;76.99;197.23;439.34;05:58;07:16;78.44;;;65.72;25.58;38.44;40.55;74.69;31.37;40.25;39.28;76.33;31.53;38.22;41.0;93.77;31.11;37.94;41.07;95.41;31.85;38.44;40.51;74.69;31.65;8.0;2.0;8.0;27.56;0.0;27.48;7.87;37.64;60;
